id,automatic_category,question,gold_answers_json,prediction,top1_title,top1_context,top1_similarity,retrieval_hit_top1,retrieval_hit_top3,exact_match,token_f1,manual_label,answer_supported_by_top1,review_note,manual_outcome
5ad02de177cf76001a686d18,absent_evidence_candidate, What was the name of the non-imperialistic policy in China?,[],Open Door Policy,Imperialism,"The Age of Imperialism, a time period beginning around 1700, saw (generally European) industrializing nations engaging in the process of colonizing, influencing, and annexing other parts of the world in order to gain political power.[citation needed] Although imperialist practices have existed for thousands of years, the term ""Age of Imperialism"" generally refers to the activities of European powers from the early 18th century through to the middle of the 20th century, for example, the ""The Great Game"" in Persian lands, the ""Scramble for Africa"" and the ""Open Door Policy"" in China.",0.4989088177680969,True,True,0,0.0,unanswerable_failure,0,The passage names the Open Door Policy but does not support the qualifier 'non-imperialistic'; the model inferred an answer instead of abstaining.,unsupported
5ad4da795b96ef001a10a3e7,absent_evidence_candidate,What was the name of the infamous German Heroic prison?,[],Pawiak,Warsaw,"There are also many places commemorating the heroic history of Warsaw. Pawiak, an infamous German Gestapo prison now occupied by a Mausoleum of Memory of Martyrdom and the museum, is only the beginning of a walk in the traces of Heroic City. The Warsaw Citadel, an impressive 19th-century fortification built after the defeat of the November Uprising, was a place of martyr for the Poles. Another important monument, the statue of Little Insurgent located at the ramparts of the Old Town, commemorates the children who served as messengers and frontline troops in the Warsaw Uprising, while the impressive Warsaw Uprising Monument by Wincenty Kućma was erected in memory of the largest insurrection of World War II.",0.509964644908905,True,True,0,0.0,benchmark_ambiguity,1,"Pawiak is explicitly identified as an infamous German Gestapo prison, so the retrieved evidence makes the answer defensible despite the empty benchmark gold answer.",acceptable
5ad26a5fd7d075001a429318,absent_evidence_candidate,Pulling on an object on a frictional surface can result in what?,[],a situation where the object does not move,Force,"Pushing against an object on a frictional surface can result in a situation where the object does not move because the applied force is opposed by static friction, generated between the object and the table surface. For a situation with no movement, the static friction force exactly balances the applied force resulting in no acceleration. The static friction increases or decreases in response to the applied force up to an upper limit determined by the characteristics of the contact between the surface and the object.",0.5686373114585876,True,True,0,0.0,unanswerable_failure,0,"The evidence describes pushing, while the question asks about pulling; the model transfers the statement without support.",unsupported
5a3e3aa9378766001a00250a,absent_evidence_candidate,Which organization does the UNFCCC processes support?,[],The IPCC,Intergovernmental_Panel_on_Climate_Change,"The IPCC concentrates its activities on the tasks allotted to it by the relevant WMO Executive Council and UNEP Governing Council resolutions and decisions as well as on actions in support of the UNFCCC process. While the preparation of the assessment reports is a major IPCC function, it also supports other activities, such as the Data Distribution Centre and the National Greenhouse Gas Inventories Programme, required under the UNFCCC. This involves publishing default emission factors, which are factors used to derive emissions estimates based on the levels of fuel consumption, industrial production and so on.",0.5203336477279663,True,True,0,0.0,unanswerable_failure,0,"The passage says the IPCC supports the UNFCCC process; the question reverses that relation, so 'The IPCC' is not supported as written.",unsupported
5a550e6f134fea001a0e187f,absent_evidence_candidate,What is level two of the connection-orientated operation? ,[],connection set-up,Packet_switching,"In connectionless mode each packet includes complete addressing information. The packets are routed individually, sometimes resulting in different paths and out-of-order delivery. Each packet is labeled with a destination address, source address, and port numbers. It may also be labeled with the sequence number of the packet. This precludes the need for a dedicated path to help the packet find its way to its destination, but means that much more information is needed in the packet header, which is therefore larger, and this information needs to be looked up in power-hungry content-addressable memory. Each packet is dispatched and may go via different routes; potentially, the system has to do as much work for every packet as the connection-oriented system has to do in connection set-up, but with less information as to the application's requirements. At the destination, the original message/data is reassembled in the correct order, based on the packet sequence number. Thus a virtual connection, also known as a virtual circuit or byte stream is provided to the end-user by a transport layer protocol, although intermediate network nodes only provides a connectionless network layer service.",0.4204713702201843,False,True,0,0.0,unanswerable_failure,0,The passage discusses connectionless routing and mentions connection setup only as a comparison; it does not define a level-two operation.,unsupported
5ad283bcd7d075001a42985a,absent_evidence_candidate,"Since electrons are minions, they cannot occupy the same what?",[],quantum mechanical state,Force,"It is a common misconception to ascribe the stiffness and rigidity of solid matter to the repulsion of like charges under the influence of the electromagnetic force. However, these characteristics actually result from the Pauli exclusion principle.[citation needed] Since electrons are fermions, they cannot occupy the same quantum mechanical state as other electrons. When the electrons in a material are densely packed together, there are not enough lower energy quantum mechanical states for them all, so some of them must be in higher energy states. This means that it takes energy to pack them together. While this effect is manifested macroscopically as a structural force, it is technically only the result of the existence of a finite set of electron states.",0.4888175725936889,True,True,0,0.0,unanswerable_failure,0,"The passage says electrons are fermions, whereas the question says 'minions'; answering through that corrupted premise requires an unsupported correction.",unsupported
571ccd9b5efbb31900334dfc,ignored_evidence_candidate,How much is the sieve method of gas production used?,"[""major method"", ""increasingly"", ""major method"", ""increasingly""]",90% to 93% O 2,Oxygen,"The other major method of producing O
2 gas involves passing a stream of clean, dry air through one bed of a pair of identical zeolite molecular sieves, which absorbs the nitrogen and delivers a gas stream that is 90% to 93% O
2. Simultaneously, nitrogen gas is released from the other nitrogen-saturated zeolite bed, by reducing the chamber operating pressure and diverting part of the oxygen gas from the producer bed through it, in the reverse direction of flow. After a set cycle time the operation of the two beds is interchanged, thereby allowing for a continuous supply of gaseous oxygen to be pumped through a pipeline. This is known as pressure swing adsorption. Oxygen gas is increasingly obtained by these non-cryogenic technologies (see also the related vacuum swing adsorption).",0.4580818712711334,True,True,0,0.0,ignored_evidence,0,"90-93% is the oxygen concentration, whereas the question asks how widely the sieve method is used.",unsupported
572a0b0b6aef0514001551f8,ignored_evidence_candidate,What is a chemical secreted by tumors that suppresses the immune response?,"[""cytokine TGF-\u03b2"", ""cytokine TGF-\u03b2"", ""cytokine TGF-\u03b2""]",TGF-,Immune_system,"Clearly, some tumors evade the immune system and go on to become cancers. Tumor cells often have a reduced number of MHC class I molecules on their surface, thus avoiding detection by killer T cells. Some tumor cells also release products that inhibit the immune response; for example by secreting the cytokine TGF-β, which suppresses the activity of macrophages and lymphocytes. In addition, immunological tolerance may develop against tumor antigens, so the immune system no longer attacks the tumor cells.",0.6999310851097107,True,True,0,0.0,partially_correct,1,"TGF- is a truncated form of the supported answer TGF-beta, likely caused by symbol handling.",partial
57274e145951b619008f87ea,ignored_evidence_candidate,"In Nepalese private schools, what is the primary language of instruction?","[""English"", ""English"", ""English""]",Nepali.,Private_school,"The other category of schools are those run and partly or fully funded by private individuals, private organizations and religious groups. The ones that accept government funds are called 'aided' schools. The private 'un-aided' schools are fully funded by private parties. The standard and the quality of education is quite high. Technically, these would be categorized as private schools, but many of them have the name ""Public School"" appended to them, e.g., the Galaxy Public School in Kathmandu. Most of the middle-class families send their children to such schools, which might be in their own city or far off, like boarding schools. The medium of education is English, but as a compulsory subject, Nepali and/or the state's official language is also taught. Preschool education is mostly limited to organized neighbourhood nursery schools.",0.6895231008529663,True,True,0,0.0,ignored_evidence,0,"The passage explicitly says the medium of education is English; Nepali is only a compulsory subject, so the prediction ignores the relevant evidence.",unsupported
572658435951b619008f7026,partial_or_paraphrase,What is the main judicial body of the EU?,"[""Court of Justice of the European Union (CJEU)"", ""the Court of Justice of the European Union (CJEU)"", ""the Court of Justice of the European Union (CJEU)"", ""the Court of Justice of the European Union (CJEU)""]",Court of Justice of the European Union,European_Union_law,"The judicial branch of the EU has played an important role in the development of EU law, by assuming the task of interpreting the treaties, and accelerating economic and political integration. Today the Court of Justice of the European Union (CJEU) is the main judicial body, within which there is a higher European Court of Justice (commonly abbreviated as ECJ) that deals with cases that contain more public importance, and a General Court that deals with issues of detail but without general importance. There is also a Civil Service Tribunal to deal with EU staff issues, and then a separate Court of Auditors. Under the Treaty on European Union article 19(2) there is one judge from each member state, 28 at present, who are supposed to ""possess the qualifications required for appointment to the highest judicial offices"" (or for the General Court, the ""ability required for appointment to high judicial office""). A president is elected by the judges for three years. Under TEU article 19(3) is to be the ultimate court to interpret questions of EU law. In fact, most EU law is applied by member state courts (the English Court of Appeal, the German Bundesgerichtshof, the Belgian Cour du travail, etc.) but they can refer questions to the EU court for a preliminary ruling. The CJEU's duty is to ""ensure that in the interpretation and application of the Treaties the law is observed"", although realistically it has the ability to expand and develop the law according to the principles it deems to be appropriate. Arguably this has been done through both seminal and controversial judgments, including Van Gend en Loos, Mangold v Helm, and Kadi v Commission.",0.7091602087020874,True,True,0,0.923076923076923,correct_metric_artifact,1,The full institution name is explicitly supported; omitting the parenthetical acronym explains the strict Exact Match failure.,acceptable
