idx,id,question,question_len_words,is_answerable,gold_texts,gold_rank,retrieval_success_top1,retrieval_success_at_5,rag_answer,norag_answer,rag_top_context,rag_answer_em,rag_answer_f1,rag_answer_rougeL,rag_answer_abstained,norag_answer_em,norag_answer_f1,norag_answer_rougeL,norag_answer_abstained,error_type
1,572693cbdd62a815002e8a0c,How long did it take for Myanmar to recover from the collapse of it's first kingdom ?,17,True,"[""250 years""]",1,True,True,250 years,a few days,"Pagan's collapse was followed by 250 years of political fragmentation that lasted well into the 16th century. Like the Burmans four centuries earlier, Shan migrants who arrived with the Mongol invasions stayed behind. Several competing Shan States came to dominate the entire northwestern to eastern arc surrounding the Irrawaddy valley. The valley too was beset with petty states until the late 14th century when two sizeable powers, Ava Kingdom and Hanthawaddy Kingdom, emerged. In the west, a politically fragmented Arakan was under competing influences of its stronger neighbours until the Kingdom of Mrauk U unified the Arakan coastline for the first time in 1437.",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Correct
2,572ecf2503f9891900756a41,Which recitation is the original basis of the Quran of Cairo?,11,True,"[""\u02bbAsim's""]",1,True,True,Asim's recitation,sacrimony,"Vocalization markers indicating specific vowel sounds were introduced into the Arabic language by the end of the 9th century. The first Quranic manuscripts lacked these marks, therefore several recitations remain acceptable. The variation in readings of the text permitted by the nature of the defective vocalization led to an increase in the number of readings during the 10th century. The 10th-century Muslim scholar from Baghdad, Ibn Mujāhid, is famous for establishing seven acceptable textual readings of the Quran. He studied various readings and their trustworthiness and chose seven 8th-century readers from the cities of Mecca, Medina, Kufa, Basra and Damascus. Ibn Mujahid did not explain why he chose seven readers, rather than six or ten, but this may be related to a prophetic tradition (Muhammad's saying) reporting that the Quran had been revealed in seven ""ahruf"" (meaning seven letters or modes). Today, the most popular readings are those transmitted by Ḥafṣ (d.796) and Warsh (d. 812) which are according to two of Ibn Mujahid's reciters, Aasim ibn Abi al-Najud (Kufa, d. 745) and Nafi‘ al-Madani (Medina, d. 785), respectively. The influential standard Quran of Cairo (1924) uses an elaborate system of modified vowel-signs and a set of additional symbols for minute details and is based on ʻAsim's recitation, the 8th-century recitation of Kufa. This edition has become the standard for modern printings of the Quran.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ignored-evidence hallucination
3,56bfbda3a10cfb140055129a,How did Etta James influence her?,6,True,"[""boldness""]",1,True,True,"""boldness""","a sexy, sexy, and sexy woman","The feminism and female empowerment themes on Beyoncé's second solo album B'Day were inspired by her role in Dreamgirls and by singer Josephine Baker. Beyoncé paid homage to Baker by performing ""Déjà Vu"" at the 2006 Fashion Rocks concert wearing Baker's trademark mini-hula skirt embellished with fake bananas. Beyoncé's third solo album I Am... Sasha Fierce was inspired by Jay Z and especially by Etta James, whose ""boldness"" inspired Beyoncé to explore other musical genres and styles. Her fourth solo album, 4, was inspired by Fela Kuti, 1990s R&B, Earth, Wind & Fire, DeBarge, Lionel Richie, Teena Marie with additional influences by The Jackson 5, New Edition, Adele, Florence and the Machine, and Prince.",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Correct
4,570ac2e34103511400d599a1,What is Liaoning classifed as?,5,True,"[""a training ship""]",1,True,True,training ship,a syringe,"One STOBAR carrier: Liaoning was originally built as the 57,000 tonne Soviet Admiral Kuznetsov-class carrier Varyag and was later purchased as a stripped hulk by China in 1998 on the pretext of use as a floating casino, then partially rebuilt and towed to China for completion. Liaoning was commissioned on 25 September 2012, and began service for testing and training. On 24 or 25 November 2012, Liaoning successfully launched and recovered several Shenyang J-15 jet fighter aircraft. She is classified as a training ship, intended to allow the navy to practice with carrier usage. On 26 December 2012, the People's Daily reported that it will take four to five years for Liaoning to reach full capacity, mainly due to training and coordination which will take significant amount of time for Chinese PLA Navy to complete as this is the first aircraft carrier in their possession. As it is a training ship, Liaoning is not assigned to any of China's operation fleets.",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Correct
5,57260d97ec44d21400f3d857,Where does Deloitte Football Money League rank Arsenal in the world football clubs?,13,True,"[""seventh""]",1,True,True,seventh,adolescent,"Arsenal's financial results for the 2014–15 season show group revenue of £344.5m, with a profit before tax of £24.7m. The footballing core of the business showed a revenue of £329.3m. The Deloitte Football Money League is a publication that homogenizes and compares clubs' annual revenue. They put Arsenal's footballing revenue at £331.3m (€435.5m), ranking Arsenal seventh among world football clubs. Arsenal and Deloitte both list the match day revenue generated by the Emirates Stadium as £100.4m, more than any other football stadium in the world.",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Correct
6,570d7908fed7b91900d4618b,What was the republican government amenable to?,7,True,"[""war reparations""]",2,False,True,assassinations of political activists,a reformed republic,"In March 1971, the residential office of an FBI agent in Media, Pennsylvania was burglarized by a group calling itself the Citizens' Commission to Investigate the FBI. Numerous files were taken and distributed to a range of newspapers, including The Harvard Crimson. The files detailed the FBI's extensive COINTELPRO program, which included investigations into lives of ordinary citizens—including a black student group at a Pennsylvania military college and the daughter of Congressman Henry Reuss of Wisconsin. The country was ""jolted"" by the revelations, which included assassinations of political activists, and the actions were denounced by members of Congress, including House Majority Leader Hale Boggs. The phones of some members of Congress, including Boggs, had allegedly been tapped.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Retrieval miss / absent-evidence hallucination
7,572957101d046914007792c9,Where can you see a permanent exhibition of Bermuda currency?,10,True,"[""Royal Naval Dockyard Museum""]",1,True,True,The Royal Naval Dockyard Museum,st. johns,"In 1970 the country switched its currency from the Bermudian pound to the Bermudian dollar, which is pegged at par with the US dollar. US notes and coins are used interchangeably with Bermudian notes and coins within the islands for most practical purposes; however, banks levy an exchange rate fee for the purchase of US dollars with Bermudian dollars. Bermudian notes carry the image of Queen Elizabeth II. The Bermuda Monetary Authority is the issuing authority for all banknotes and coins, and regulates financial institutions. The Royal Naval Dockyard Museum holds a permanent exhibition of Bermuda notes and coins.",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Correct
8,56e13485cd28a01900c676a4,Calf Island and Green Island are considered part of what National Recreation Area?,13,True,"[""Boston Harbor Islands National Recreation Area""]",1,True,True,Boston Harbor Islands,san diego,"Boston is surrounded by the ""Greater Boston"" region and is contiguously bordered by the cities and towns of Winthrop, Revere, Chelsea, Everett, Somerville, Cambridge, Newton, Brookline, Needham, Dedham, Canton, Milton, and Quincy. The Charles River separates Boston from Watertown and the majority of Cambridge, and the mass of Boston from its own Charlestown neighborhood. To the east lie Boston Harbor and the Boston Harbor Islands National Recreation Area (which includes part of the city's territory, specifically Calf Island, Gallops Island, Great Brewster Island, Green Island, Little Brewster Island, Little Calf Island, Long Island, Lovells Island, Middle Brewster Island, Nixes Mate, Outer Brewster Island, Rainsford Island, Shag Rocks, Spectacle Island, The Graves, and Thompson Island). The Neponset River forms the boundary between Boston's southern neighborhoods and the city of Quincy and the town of Milton. The Mystic River separates Charlestown from Chelsea and Everett, and Chelsea Creek and Boston Harbor separate East Boston from Boston proper.",0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,Ignored-evidence hallucination
9,5a7cc670e8bc7e001a9e1fec,What was the decrease in non-German population between 2011 and 2013?,11,False,[],1,True,True,24%,a year,"In July 2013, there were 41,000 non-Germans by citizenship living in Thuringia (1.9% of the population − among the smallest proportions of any state in Germany). Nevertheless, the number rose from 33,000 in July 2011, an increase of 24% in only two years. About 4% of the population are migrants (including persons that already received the German citizenship). The biggest groups of foreigners by citizenship are (as of 2012): Russians (3,100), Poles (3,000), Vietnamese (2,800), Turks (2,100) and Ukrainians (2,000). The amount of foreigners varies between regions: the college towns Erfurt, Jena, Weimar and Ilmenau have the highest rates, whereas there are almost no migrants living in the most rural smaller municipalities.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unanswerable failure
10,5ad26431d7d075001a429146,In what year did Heinz Kloss develop a framework for describing dialects genetically?,13,False,[],1,True,True,1967,1897,"A framework was developed in 1967 by Heinz Kloss, abstand and ausbau languages, to describe speech communities, that while unified politically and/or culturally, include multiple dialects which though closely related genetically may be divergent to the point of inter-dialect unintelligibility.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unanswerable failure
